产品名称,产品编号,产品型号,产品主图,规格产品编号,离岸价,产品净重(kg)
Electrode 200A,220541,220541,,220541,">=0 ,    - ",
Nozzle bevel 260A,220542,220542,,220542,">=0 ,  USD  - ",
Retaining Cup bevel 260A,220740,220740,,220740,">=0 ,    - ",
Shield Cup 100A,9-8239,9-8239,,9-8239,">=0 ,    - ",
Start Cartridge,9-8277,9-8277,,9-8277,">=0 ,    - ",
N0zzle 120A,9-8253,9-8253,,9-8253,">=0 ,    - ",
N0zzle 100A,9-8212,9-8212,,9-8212,">=0 ,    - ",
Retaining Cup,9-8237,9-8237,,9-8237,">=0 ,    - ",
SL60/SL100 Shield Cap,9-8256,9-8256,,9-8256,">=0 ,    - ",
"Alumina nozzle, 7/16""I.D.,size7",54N15,54N15,,54N15,">=0 ,    - ",
"Alumina nozzle, 3/8""I.D.,size6",54N16,54N16,,54N16,">=0 ,    - ",
"Alumina nozzle, 5/16""I.D.,size5",54N17,54N17,,54N17,">=0 ,    - ",
"Alumina nozzle, 1/4""I.D.,size4",54N18,54N18,,54N18,">=0 ,    - ",
"Alumina nozzle,3/4""I.D.,size12",10N44,10N44,,10N44,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 5/8""I.D.,size10",10N45,10N45,,10N45,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 1/2""I.D.,size8",10N46,10N46,,10N46,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 7/16""I.D.,size7",10N47,10N47,,10N47,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 3/8""I.D.,size6",10N48,10N48,,10N48,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 5/16""I.D.,size5",10N49,10N49,,10N49,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 1/4""I.D.,size4",10N50,10N50,,10N50,"50-499 USD 0.16
500-4999 USD 0.14
>=5000 USD 0.12
",
"Alumina nozzle, 7/16""I.D.,size7",53N61,53N61,,53N61,">=0 ,    - ",
"Alumina nozzle, 3/8""I.D.,size6",53M60,53M60,,53M60,">=0 ,    - ",
"Alumina nozzle, 5/16""I.D.,size5",53N59,53N59,,53N59,">=0 ,    - ",
"Alumina nozzle, 1/4"" I.D.,size4",53N58,53N58,,53N58,">=0 ,    - ",
"Alumina nozzle, 5/8"" I.D.,size10",13N13,13N13,,13N13,">=0 ,    - ",
"Alumina nozzle, 1/2"" I.D.,size8",13N12,13N12,,13N12,">=0 ,    - ",
"Alumina nozzle, 7/16"" I.D.,size7",13N11,13N11,,13N11,">=0 ,    - ",
"Alumina nozzle, 3/8"" I.D.,size6",13N10,13N10,,13N10,">=0 ,    - ",
"Alumina nozzle, 5/16"" I.D.,size5",13N09,13N09,,13N09,">=0 ,    - ",
"Alumina nozzle, 1/4"" I.D.,size4",13N08,13N08,,13N08,">=0 ,    - ",
"Alumina nozzle,5/16""1.D.,sze5",A796F72,A796F72,,A796F72,">=0 ,    - ",
"Alumina nozzle,1/4"" l.D., size4",A796F71,A796F71,,A796F71,">=0 ,    - ",
"Alumina nozzle,.165""I.D.,size3",A796F70,A796F70,,A796F70,">=0 ,    - ",
"Alumina nozzle,3/8""I.D., size6",A53N27,A53N27,,A53N27,">=0 ,    - ",
"Alumina nozzle,5/16""1.D.,size5",A53N25,A53N25,,A53N25,">=0 ,    - ",
"Alumina nozzle,1/4"" I.D., size4",A53N24,A53N24,,A53N24,">=0 ,    - ",
"Alumina nozzle,.165""I.D.,size 3",A53N23,A53N23,,A53N23,">=0 ,    - ",
"Alumina nozzle,3/4""1.D.,size12",53N87XXL,53N87XXL,,53N87XXL,">=0 ,    - ",
"Alumina nozzle,5/8""1.D.,size10",53N88XXL,53N88XXL,,53N88XXL,">=0 ,    - ",
"Alumina nozzle,3/8""1.D..size6.",57N75XXL,57N75XXL,,57N75XXL,">=0 ,    - ",
"Alumina nozzle,1/2""1.D.,size 8",57N74XXL,57N74XXL,,57N74XXL,">=0 ,    - ",
"Alumina nozzle,3/4""I.D.,size12",53N87XL,53N87XL,,53N87XL,">=0 ,    - ",
"Alumina nozzle,5/8""1I. D.,size10",53N88XL,53N88XL,,53N88XL,">=0 ,    - ",
"Alumina nozzle,1/2""1.D.,size8",57N74XL,57N74XL,,57N74XL,">=0 ,    - ",
"Alumina nozzle,3/8""I.D., size6",57N75XL,57N75XL,,57N75XL,">=0 ,    - ",
"Alumina nozzle,3/4""1.D.,size12",53N87L,53N87L,,53N87L,">=0 ,    - ",
"Alumina nozzle,5/8""1.D.,size10",53N88L,53N88L,,53N88L,">=0 ,    - ",
"Alumina nozzle,1/2""1.D.,size8",57N74L,57N74L,,57N74L,">=0 ,    - ",
"Alumina nozzle,3/8""1.D.,size6",57N75L,57N75L,,57N75L,">=0 ,    - ",
"Alumina nozzle,1/2""I.D.,size 8",54N14L,54N14L,,54N14L,">=0 ,    - ",
"Alumina nozzle,7/16""I.D.,size7",54N15L,54N15L,,54N15L,">=0 ,    - ",
"Alumina nozzle,3/8""I.D.,size6",54N16L,54N16L,,54N16L,">=0 ,    - ",
"Alumina nozzle,5/16""I.D.,size5",54N17L,54N17L,,54N17L,">=0 ,    - ",
"Alumina nozzle, 3/8”I.D.,size 6",10N48L,10N48L,,10N48L,">=0 ,    - ",
"Alumina nozzle,7/16""1.D.,size7",10N47L,10N47L,,10N47L,">=0 ,    - ",
"Alumina nozzle,5/16""I.D.,size5",10N49L,10N49L,,10N49L,">=0 ,    - ",
"Alumina nozzle,3/4""I.D.,size 12",53N87,53N87,,53N87,">=0 ,    - ",
"Alumina nozzle,5/8""I.D.,size 10",53N88,53N88,,53N88,">=0 ,    - ",
"Alumina nozzle,1/2""1.D.,size8",57N74,57N74,,57N74,">=0 ,    - ",
"Alumina nozzle,3/8"" 1.D.,size6",57N75,57N75,,57N75,">=0 ,    - ",
"Alumina nozzle, 11/16""I.D. short",54N19,54N19,,54N19,">=0 ,    - ",
"Alumina nozzle, 1/2""I.D.,size8",54N14,54N14,,54N14,">=0 ,    - ",
"Collet for 27 torches,.040""1.0mm",57N45,57N45,,57N45,">=0 ,    - ",
"Collet,3/32""2.4mm",24GLC332,24GLC332,,24GLC332,">=0 ,    - ",
"Collet,1/16”1.6mm",53N64,53N64,,53N64,">=0 ,    - ",
"Collet,.040”1.0mm",53N63,53N63,,53N63,">=0 ,    - ",
"Collet,.020""0.5mm",53N62,53N62,,53N62,">=0 ,    - ",
"Collet, 3/32""2.4mm",24C332,24C332,,24C332,">=0 ,    - ",
"Collet,. 040""1.0mm",53N16,53N16,,53N16,">=0 ,    - ",
"Collet,.020”0.5mm",53N15,53N15,,53N15,">=0 ,    - ",
"Collet,1/16""1.6mm",53N14,53N14,,53N14,">=0 ,    - ",
"Collet, 5/32""4.0mm",54N20,54N20,,54N20,">=0 ,    - ",
"Collet,1/8""3.2mm WP17/18/26",10N25,10N25,,10N25,"100-499 USD 0.14
500-4999 USD 0.12
>=5000 USD 0.1
",
"Collet,3/32”2.4mm WP17/18/26",10N24,10N24,,10N24,"100-499 USD 0.14
500-4999 USD 0.12
>=5000 USD 0.1
",
"Collet,1/16”1.6mm WP17/18/26",10N23,10N23,,10N23,"100-499 USD 0.14
500-4999 USD 0.12
>=5000 USD 0.1
",
"Collet,.040""1.0mm WP17/18/26",10N22,10N22,,10N22,"100-499 USD 0.14
500-4999 USD 0.12
>=5000 USD 0.1
",
"Collet,.020""0.5mm WP17/18/26",10N21,10N21,,10N21,"100-499 USD 0.14
500-4999 USD 0.12
>=5000 USD 0.1
",
"Collet, 1/8""3.2mm",13N24L,13N24L,,13N24L,">=0 ,    - ",
"Collet,3/32""2.4mm",13N23L,13N23L,,13N23L,">=0 ,    - ",
"Collet,1/16”1.6mm",13N22L,13N22L,,13N22L,">=0 ,    - ",
"Collet,.040""1.0mm",13N21L,13N21L,,13N21L,">=0 ,    - ",
"Collet,.020”0.5mm",13N20L,13N20L,,13N20L,">=0 ,    - ",
"Collet, 1/8""3.2mm",13N24,13N24,,13N24,">=0 ,    - ",
"Collet,3/32""2.4mm",13N23,13N23,,13N23,">=0 ,    - ",
"Collet,1/16”1.6mm",13N22,13N22,,13N22,">=0 ,    - ",
"Collet,.040""1.0mm",13N21,13N21,,13N21,">=0 ,    - ",
"Collet,.020”0.5mm",13N20,13N20,,13N20,">=0 ,    - ",
"Alumina nozzle,1/4""1.D., size4",A796F79,A796F79,,A796F79,">=0 ,    - ",
"Alumina nozzle,3/8""1.D.,size6",A796F77,A796F77,,A796F77,">=0 ,    - ",
"Alumina nozzle,5/16""I.D.,size5",A796F76,A796F76,,A796F76,">=0 ,    - ",
"Alumina nozzle,1/4""I.D..size4",A796F75,A796F75,,A796F75,">=0 ,    - ",
"Alumina nozzle,.165""I.D.,size3",A796F74,A796F74,,A796F74,">=0 ,    - ",
"Alumina nozzle,3/8""I.D., size 6",A796F73,A796F73,,A796F73,">=0 ,    - ",
Collet body all sizes,11WP65,11WP65,,11WP65,">=0 ,    - ",
"Collet body , 5/32”4.0mm",406488,406488,,406488,">=0 ,    - ",
"Collet body,1/8""3.2mm WP17/18/26",10N28,10N28,,10N28,"50-499 USD 0.35
500-4999 USD 0.3
>=5000 USD 0.27
",
"Collet body,3/32”2.4mm WP17/18/26",10N32,10N32,,10N32,"50-499 USD 0.35
500-4999 USD 0.3
>=5000 USD 0.27
",
"Collet body,1/16”1.6mm WP17/18/26",10N31,10N31,,10N31,"50-499 USD 0.35
500-4999 USD 0.3
>=5000 USD 0.27
",
"Collet body,.040”1.0mm WP17/18/26",10N30,10N30,,10N30,"50-499 USD 0.35
500-4999 USD 0.3
>=5000 USD 0.27
",
"Collet body,. 020""0.5mm WP17/18/26",10N29,10N29,,10N29,"50-499 USD 0.35
500-4999 USD 0.3
>=5000 USD 0.27
",
"Collet body,3/32""2.4mm",17CB332,17CB332,,17CB332,">=0 ,    - ",
"Collet body,1/8""3.2mm",17CB20,17CB20,,17CB20,">=0 ,    - ",
"Collet body,3/32”2.4mm",24CB332,24CB332,,24CB332,">=0 ,    - ",
"Collet body,1/16""1.6mm",53N19,53N19,,53N19,">=0 ,    - ",
"Collet body, .040""1.0mm",53N18,53N18,,53N18,">=0 ,    - ",
"Collet body,. 020""0.5mm",53N17,53N17,,53N17,">=0 ,    - ",
"Collet body,1/8”3.2mm",13N29,13N29,,13N29,">=0 ,    - ",
"Colletbody,3/32""2.4mm",13N28,13N28,,13N28,">=0 ,    - ",
"Collet body,1/16""1.6mm",13N27,13N27,,13N27,">=0 ,    - ",
"Collet body,.040""1.0mm",13N26,13N26,,13N26,">=0 ,    - ",
"Collet body,.020""0.5mm",13N25,13N25,,13N25,">=0 ,    - ",
"Collet , 1/4""6.35mm",85Z19,85Z19,,85Z19,">=0 ,    - ",
"Collet , 3/16""4.8mm",85Z18,85Z18,,85Z18,">=0 ,    - ",
"Collet , 5/32""4.0mm",85Z17,85Z17,,85Z17,">=0 ,    - ",
"Collet , 1/8"" 3.2mm",85Z16,85Z16,,85Z16,">=0 ,    - ",
"Collet , 3/32""2.4mm",85Z15,85Z15,,85Z15,">=0 ,    - ",
"Collet ,1/16""1.6mm",85Z14,85Z14,,85Z14,">=0 ,    - ",
"Collet , 1/18""3.2mm",10N25S,10N25S,,10N25S,">=0 ,    - ",
"Collet , 3/32""2.4mm",10N24S,10N24S,,10N24S,">=0 ,    - ",
"Collet , 1/16""1.6mm",10N23S,10N23S,,10N23S,">=0 ,    - ",
"Collet for27 torches,1/4”6.35mm",57N51,57N51,,57N51,">=0 ,    - ",
"Collet for27 torches,3/16"" 4.8mm",57N50,57N50,,57N50,">=0 ,    - ",
"Collet for27 torches,5/32""4.0mm",57N49,57N49,,57N49,">=0 ,    - ",
"Collet for27torches,1/8""3.2mm",57N48,57N48,,57N48,">=0 ,    - ",
"Collet for27 torches,3/32""2.4mm",57N47,57N47,,57N47,">=0 ,    - ",
Long back cap WP17/18/26,57Y02,57Y02,,57Y02,"50-499 USD 0.22
500-4999 USD 0.185
>=5000 USD 0.162
",
"Extra large gas lens,1/4""6.35mm",49V28,49V28,,49V28,">=0 ,    - ",
"Extra large gas lens,3/16""4.8mm",49V27,49V27,,49V27,">=0 ,    - ",
"Extra large gas lens,5/32""4.0mm",49V26,49V26,,49V26,">=0 ,    - ",
"Extra large gas lens,1/8""3.2mm",49V25,49V25,,49V25,">=0 ,    - ",
"Extra large gas lens,3/32""2.4mm",49V24,49V24,,49V24,">=0 ,    - ",
"Extra large gas lens,1/16""1.6mm",49V23,49V23,,49V23,">=0 ,    - ",
"Extra large gas lens,.040""1.0mm",49V22,49V22,,49V22,">=0 ,    - ",
"Extra large gas lens,1/8""3.2mm",995795,995795,,995795,"50-499 USD 1.55
500-4999 USD 1.33
>=5000 USD 1.17
",
"Extra large gas lens,3/32""2.4mm",45V64,45V64,,45V64,"50-499 USD 1.55
500-4999 USD 1.33
>=5000 USD 1.17
",
"Extra large gas lens,1/16""1.6mm",45V116,45V116,,45V116,"50-499 USD 1.55
500-4999 USD 1.33
>=5000 USD 1.17
",
"Extra large stubby gas lens,1/8”3.2mm",995795S,995795S,,995795S,">=0 ,    - ",
"Extra large stubby gas lens,3/32”2.4mm",45V64S,45V64S,,45V64S,">=0 ,    - ",
"Extra large stubby gas lens,1/16”1.6mm",45V116S,45V116S,,45V116S,">=0 ,    - ",
"Gas lens body,5/32""4.0mm",45V28,45V28,,45V28,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
"Gas lens body,1/8""3.2mm",45V27,45V26,,45V27,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
"Gas lens body,3/32""2.4mm",45V26,45V26,,45V26,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
"Gas lens body,1/16""1.6mm",45V25,45V25,,45V25,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
"Gas lens body,040""1.0mm",45V24,45V24,,45V24,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
Gas lens Body 0.5mm,45V29,45V29,,45V29,"50-499 USD 1.16
500-4999 USD 1
>=5000 USD 0.88
",
"Gas lens body,1/8""3.2mm",45V45,45V45,,45V45,"50-499 USD 0.68
500-4999 USD 0.6
>=5000 USD 0.52
",
"Gas lens body,3/32""2.4mm",45V44,45V44,,45V44,"50-499 USD 0.68
500-4999 USD 0.6
>=5000 USD 0.52
",
"Gas lens body,1/16""1.6mm",45V43,45V43,,45V43,"50-499 USD 0.68
500-4999 USD 0.6
>=5000 USD 0.52
",
"Gas lens body,040""1.0mm",45V42,45V42,,45V42,"50-499 USD 0.68
500-4999 USD 0.6
>=5000 USD 0.52
",
"Gas lens body,020""0.5mm",45V41,45V41,,45V41,"50-499 USD 0.68
500-4999 USD 0.6
>=5000 USD 0.52
",
"Gas lens,3/16""4.8mm",11GL36,11GL36,,11GL36,">=0 ,    - ",
"Gas lens,5/32”4.0mm",11GL53,11GL53,,11GL53,">=0 ,    - ",
"Gas lens,1/8""3.2mm",11GL18,11GL18,,11GL18,">=0 ,    - ",
"Gas lens,3/32”2.4mm",11GL332,11GL332,,11GL332,">=0 ,    - ",
"Gas lens,1/16”1.6mm",11GL16,11GL16,,11GL16,">=0 ,    - ",
Cup gasket,598882,598882,,598882,">=0 ,    - ",
Valve Stem,VS-1,VS-1,,VS-1,">=0 ,    - ",
Valve Stem,VS-2,VS-2,,VS-2,">=0 ,    - ",
Short back cap WP17/18/26,57Y04,57Y04,,57Y04,"50-499 USD 0.15
500-4999 USD 0.13
>=5000 USD 0.113
",
Med back cap WP17/18/26,57Y03,57Y03,,57Y03,"50-499 USD 0.15
500-4999 USD 0.13
>=5000 USD 0.113
",
"Tip holder M8,28.0mm",142.002,142.002,,142.002,">=0 ,    - ",
"Tip holder M6,28.0mm",142.0005,142.0005,,142.0005,">=0 ,    - ",
Gas diffusor.ceramic,14.0023,14.0023,,14.0023,">=0 ,    - ",
"Gas diffusor,long life",14.0026,14.0026,,14.0026,">=0 ,    - ",
"Gas diffusor, black",14.0021,14.0021,,14.0021,">=0 ,    - ",
"Gas diffusor, white",14.0261,14.0261,,14.0261,">=0 ,    - ",
PTFE core liner 2.0/4.0;red;wire electrodφ1.0-1.2for 5.00m,126.0028,126.0028,,126.0028,">=0 ,    - ",
PTFE core liner 2.0/4.0;red;wire electrodφ1.0-1.2for 4.00m,126.0026,126.0026,,126.0026,">=0 ,    - ",
PTFE core liner 2.0/4.0;red;wire electrodφ1.0-1.2 for 3.00m,126.0021,126.0021,,126.0021,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0for 5.00m,126.0011,126.0011,,126.0011,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0for 4.00m,126.0008,126.0008,,126.0008,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0 for 3.00m,126.0005,126.0005,,126.0005,">=0 ,    - ",
Guide spiral liner blank 2.0/4.5 red with nipple for wireφ1.0-1.2for 5.00m,124.0035,124.0035,,124.0035,">=0 ,    - ",
Guide spiral liner blank 2.0/4.5 red with nipple for wireφ1.0-1.2for 4.00m,124.0031,124.0031,,124.0031,">=0 ,    - ",
Guide spiral liner blank 2.0/4.5 red with nipple for wireφ1.0-1.2 for 3.00m,124.0026,124.0026,,124.0026,">=0 ,    - ",
Guide spiral liner blank 1.5/4.5 blue with nipple for wireφ0.6-0.8for 5.00m,124.0015,124.0015,,124.0015,">=0 ,    - ",
Guide spiral liner blank 1.5/4.5 blue with nipple for wireφ0.6-0.8for 4.00m,124.0012,124.0012,,124.0012,">=0 ,    - ",
Guide spiral liner blank 1.5/4.5 blue with nipple for wireφ0.6-0.8 for 3.00m,124.0011,124.0011,,124.0011,">=0 ,    - ",
Joint with Spring,TCU20111,TCU20111,,TCU20111,">=0 ,    - ",
P350A Nozzle-Copper,01610.Copper,01610.Copper,,01610.Copper,"50-499 USD 1.2
500-4999 USD 1.12
>=5000 USD 1
",
P500A Nozzle-Copper,00014.Copper,00014.Copper,,00014.Copper,"50-499 USD 2.23
500-4999 USD 2
>=5000 USD 1.94
",
PTFE core liner 2.0/4.0;red;wire electrodφ1.0-1.2for 4.00m,QS126.0026,QS126.0026,,QS126.0026,">=0 ,    - ",
PTFE core liner 2.0/4.0;red;wire electrodφ1.0-1.2 for 3.00m,QS126.0021,QS126.0021,,QS126.0021,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0for 5.00m,QS126.0011,QS126.0011,,QS126.0011,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0for 4.00m,QS126.0008,QS126.0008,,QS126.0008,">=0 ,    - ",
PTFE core liner 1.5/4.0;blue;wire electrodφ0.6-1.0 for 3.00m,QS126.0005,QS126.0005,,QS126.0005,">=0 ,    - ",
25AK Tip Holder M6; 35.0mm,142.0001,142.0001,,142.0001,"50-499 USD 0.45
500-4999 USD 0.4
>=5000 USD 0.37
",
N-M1200C Gas Nozzle,N-M1200C,N-M1200C,,N-M1200C, ,
Lincoln 1/16 Tip,KP2744-116,KP2744-116,,KP2744-116, ,
"25AK Gas nozzle, tapered NDφ11.5 Brass",145.0124.Brass,145.0124.Brass,,145.0124.Brass,"50-499 USD 0.64
500-4999 USD 0.6
>=5000 USD 0.53
",
"25AK Gas nozzle, cylindrical NDφ18.0 Brass",145.0042.Brass,145.0042.Brass,,145.0042.Brass,"50-499 USD 0.64
500-4999 USD 0.6
>=5000 USD 0.53
",
Central adaptor block with contrl leads,501.0003,501.0003,,501.0003,">=0 ,    - ",
Rear Box Nut,BW0020,BW0020,,BW0020,">=0 ,    - ",
Screw,EA0018,EA0018,,EA0018,">=0 ,    - ",
Handle,BW0195,BW0195,,BW0195,">=0 ,    - ",
Trigger wire connector male,175.0004,175.0004,,175.0004,">=0 ,    - ",
Power cable 5.00m,160.0155,160.0155,,160.0155,">=0 ,    - ",
Power cable 3.00m,160.0142,160.0142,,160.0142,">=0 ,    - ",
Rear Joint,160.0128,160.0128,,160.0128,">=0 ,    - ",
Trigger wire connector,175.0022,175.0022,,175.0022,">=0 ,    - ",
Hexagon nut M10*1,1.0009,1.0009,,1.0009,">=0 ,  USD  - ",
"Torch body,plastic",400.0044,400.0044,,400.0044,">=0 ,    - ",
25AK Swan neck,004.0012,004.0012,,4.0012,"20-499 USD 1.92
500-4999 USD 1.83
>=5000 USD 1.5
",
Original-YK200 Lock Ring,YK200105. Original,YK200105. Original,,YK200105. Original,USD 3.8500,
Original-YK200 Shield cap,YK200104.Original,YK200104.Original,,YK200104.Original,USD 2.6000,
Original-YK200 Retaining Cup,YK200106. Original,YK200106. Original,,YK200106. Original,USD 5.0000,
Original-YK200 Nozzle-2.8,YK200103(2.8). Original,YK200103(2.8). Original,,YK200103(2.8). Original,USD 1.0000,
Original-YK200 Nozzle-2.5,YK200103(2.5).Original,YK200103(2.5).Original,,YK200103(2.5).Original,USD 1.0000,
Original-YK200 Nozzle-2.2,YK200103(2.2). Original,YK200103(2.2). Original,,YK200103(2.2). Original,USD 1.0000,
Original-YK200 Nozzle-1.8,YK200103(1.8).Original,YK200103(1.8).Original,,YK200103(1.8).Original,USD 1.0000,
Original-YK200 Nozzle-1.6,YK200103(1.6). Original,YK200103(1.6). Original,,YK200103(1.6). Original,USD 1.0000,
Original-YK200 Electrode,YK200102. Original,YK200102. Original,,YK200102. Original,USD 1.2800,
Original-YK200 Torch Head,YK200101.Original,YK200101.Original,,YK200101.Original,USD 85.0000,
"25AK Gas nozzle, cylindrical NDφ18.0 Copper",145.0042.Copper,145.0042.Copper,,145.0042.Copper,"50-499 USD 0.97
500-4999 USD 0.9
>=5000 USD 0.84
",
"25AK Gas nozzle, tapered NDφ11.5 Copper",145.0124.Copper,145.0124.Copper,,145.0124.Copper,"50-499 USD 0.97
500-4999 USD 0.9
>=5000 USD 0.84
",
"25AK Gas nozzle, conical NDφ15.0 Brass",145.0076.Brass,145.0076.Brass,,145.0076.Brass,"50-499 USD 0.64
500-4999 USD 0.6
>=5000 USD 0.53
",
P350A Nozzle-Brass,01610.Brass,01610.Brass,,01610.Brass,"50-499 USD 0.88
500-4999 USD 0.8
>=5000 USD 0.76
",
P500A Nozzle-Brass,00014.Brass,00014.Brass,,00014.Brass,"50-499 USD 1.12
500-4999 USD 0.96
>=5000 USD 0.9
",
LC125 Electrode,BK14300-1,BK14300-1,,BK14300-1,"10-499 USD 1.5
500-4999 USD 1.1
>=5000 USD 0.9
",
LC125 Shield Cap,BK14300-4,BK14300-4,,BK14300-4,"10-499 USD 2.8
500-4999 USD 2.6
>=5000 USD 2.1
",
LC125 Nozzle,BK14300-11,BK14300-11,,BK14300-11,"10-499 USD 1.5
500-4999 USD 1.1
>=5000 USD 0.9
",
LC125 Diffuser,BK14300-13,BK14300-13,,BK14300-13,USD ,
LC125 Retaining Cap,BK14300-15,BK14300-15,,BK14300-15,USD ,
Nozzle (3-7mm) D1.3,YK2413,YK2413,,YK2413,USD 2.0000,
Swirl Ring ,220947,220947,,220947, ,
Electrode YK330,YK02211,YK02211,,YK02211,USD ,
SL60/SL100 Shield Cap,9-8218,9-8218,,9-8218,">=0 ,  USD  - ",
SL60/SL100 Shield Cap,9-8235/9-8236/9-8258,9-8235/9-8236/9-8258,,9-8235/9-8236/9-8258,">=0 ,  USD  - ",
SL60/SL100 Shield Cap,9-8245/9-8238/9-8239,9-8245/9-8238/9-8239,,9-8245/9-8238/9-8239,">=0 ,  USD  - ",
Shield,420000,420000,,420000, ,
BLUE STEEL LINER 0.6/0.8 3M,1240011,1240011,,1240011, ,
RED STEEL LINER 1.0/1.2 3M,1240026,1240026,,1240026, ,
Miller Welding Guns,139725,139725,,139725, ,
Swirl Ring  105A-,220974,220974,,220974, ,
Nozzle 105A-,220991,220991,,220991, ,
Shield Cup（Unprotected cap-）,220931,220931,,220931, ,
WT20  Tungsten red 10pcs/pack,869,,,869, ,
Filter,868,,,868, ,
Anti-Stick Paste for MIG/MAG Torches,867,,,867, ,
MMA300,863,,,863, ,
WP26 Torch,861,,,861, ,
403-20-116 Contact Tip 1/16" 1.6mm,860,,,860, ,
CO2,857,,,857, ,
W000315795,854,,,854, ,
S93570074,853,,,853, ,
W000315798,852,,,852, ,
2025.5.5,847,,,847, ,
P80 Plasma Round Gauge,846,,,846, ,
Welding Face Shield,845,,,845, ,
cucrzr/200g,840,,,840, ,
16x50- electrode cap,839,,,839, ,
Er-4047（non-straight弯）1.2mm,837,,,837, ,
Er-4047  （直）3.2mm,836,,,836, ,
Gas Lens Short ,835,,,835, ,
WP-17/18/26 2.4mm TIG Welding Torch Parts,834,,,834,"100-498 USD 7.5
499-998 USD 7
>=999 USD 6.5
",
Stud Clamp M3,812,3.3,,812, ,
P160 Nozzle,692,2.3,,692_1,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,692_2,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,692_3,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,692_4,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
500A Coating Nozzle-Copper,724,,,724,USD 1.9500,
Automatic Welding Chuck 1/6,781,,,781,"5-49 USD 15
50-499 USD 10
>=500 USD 8
",
Coated Nozzle Copper-40mm,798,,,798_1,"50-499 USD 0.48
500-4999 USD 0.45
>=5000 USD 0.43
",
,,,,798_2,"50-499 USD 0.48
500-4999 USD 0.45
>=5000 USD 0.43
",
,,,,798_3,"50-499 USD 0.48
500-4999 USD 0.45
>=5000 USD 0.43
",
PT80 Nozzle and Electrode,829,,,829, ,
PT80 Swirl Ring,828,,,828, ,
PT80 Bracket,827,,,827, ,
P80 Torch （Black Wolf） Cable-8m,826,,,826,USD 59.0000,
P80 Torch （Black Wolf） Cable-5m,727,,,727,USD 40.0000,
Fronius Tip M6*24 E-Cu,617,,,617_1,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_2,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_3,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_4,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_5,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_6,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
,,,,617_7,"50-499 USD 0.65
500-4999 USD 0.56
>=5000 USD 0.52
",
Fronius Tip M6*24 CuCrZr,618,,,618_1,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_2,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_3,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_4,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_5,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_6,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
,,,,618_7,"50-499 USD 0.74
500-4999 USD 0.63
>=5000 USD 0.58
",
Fronius Tip M8*32 E-Cu,619,,,619_1,"50-499 USD 0.75
500-4999 USD 0.65
>=5000 USD 0.6
",
,,,,619_2,"50-499 USD 0.75
500-4999 USD 0.65
>=5000 USD 0.6
",
